Genes,aTc,W
b3071_4,aTc_2,1.01504818
b3071_4,aTc_4,0.99834079
b3071_4,aTc_6,1.017304943
b3071_4,aTc_8,0.993713945
b3164_1,aTc_0,1.053234077
b3164_1,aTc_2,1.105299048
b3164_1,aTc_4,0.977409885
b3164_1,aTc_6,0.951653378
b3164_1,aTc_8,0.855003241
b3164_2,aTc_0,1.096050198
b3164_2,aTc_2,1.013432327
b3164_2,aTc_4,0.922111805
b3164_2,aTc_6,0.972765156
b3164_2,aTc_8,0.905298613
b3164_3,aTc_0,1.022561875
b3164_3,aTc_2,1.004379767
b3164_3,aTc_4,0.941952008
b3164_3,aTc_6,0.929137292
b3164_3,aTc_8,0.833467892
b3164_4,aTc_0,1.069196772
b3164_4,aTc_2,0.920569314
b3164_4,aTc_4,0.875941042
b3164_4,aTc_6,0.876634504
b3164_4,aTc_8,0.875909466
b3417_1,aTc_0,1.065429138
b3417_1,aTc_2,1.038916133
b3417_1,aTc_4,0.904975047
b3417_1,aTc_6,0.808043992
b3417_1,aTc_8,0.776437589
b3417_2,aTc_0,1.023312051
b3417_2,aTc_2,0.967397422
b3417_2,aTc_4,0.859359893
b3417_2,aTc_6,0.957442114
b3417_2,aTc_8,0.78865367
b3417_3,aTc_0,1.076534146
b3417_3,aTc_2,0.955088675
b3417_3,aTc_4,0.878965376
b3417_3,aTc_6,0.805831986
b3417_3,aTc_8,0.765461351
b3417_4,aTc_0,1.00107478
b3417_4,aTc_2,0.896682246
b3417_4,aTc_4,0.811216559
b3417_4,aTc_6,0.953871048
b3417_4,aTc_8,0.747051757
b3560_1,aTc_0,1.014414748
b3560_1,aTc_2,1.008649408
b3560_1,aTc_4,0.869733193
b3560_1,aTc_6,0.682837083
b3560_1,aTc_8,0.60762448
b3560_2,aTc_0,1.091540646
b3560_2,aTc_2,1.049627106
b3560_2,aTc_4,0.805401057
b3560_2,aTc_6,0.840705252
b3560_2,aTc_8,0.606102121
b3560_3,aTc_0,1.001095505
b3560_3,aTc_2,0.939604115
b3560_3,aTc_4,0.752283686
b3560_3,aTc_6,0.615479289
b3560_3,aTc_8,0.561532163
b3560_4,aTc_0,1.09155452
b3560_4,aTc_2,0.967422486
b3560_4,aTc_4,0.708913589
b3560_4,aTc_6,0.811514194
b3560_4,aTc_8,0.57706744
b3590_1,aTc_0,1.02549457
b3590_1,aTc_2,1.009107633
b3590_1,aTc_4,0.861981246
b3590_1,aTc_6,0.792949736
b3590_1,aTc_8,0.736168953
b3590_2,aTc_0,1.081114229
b3590_2,aTc_2,1.027157587
b3590_2,aTc_4,0.898405168
b3590_2,aTc_6,0.925208699
b3590_2,aTc_8,0.798145036
b3590_3,aTc_0,1.005800325
b3590_3,aTc_2,0.912131765
b3590_3,aTc_4,0.817258384
b3590_3,aTc_6,0.749775033
b3590_3,aTc_8,0.720829348
b3590_4,aTc_0,1.072074621
b3590_4,aTc_2,0.941514049
b3590_4,aTc_4,0.826222524
b3590_4,aTc_6,0.885049965
b3590_4,aTc_8,0.742447009
b3602_1,aTc_0,1.013466559
b3602_1,aTc_2,0.985788862
b3602_1,aTc_4,1.034407445
b3602_1,aTc_6,1.011175363
b3602_1,aTc_8,0.966826485
b3602_2,aTc_0,0.981031945
b3602_2,aTc_2,1.013467
b3602_2,aTc_4,1.001025651
b3602_2,aTc_6,1.011884742
b3602_2,aTc_8,1.00409179
